Yards to Go,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
1-3,140,1.91,3.96,99,311,3.1,12,58,21,36,58.3,263,7.3,5,2,5,21,97.6,6.7,All Colts plays with 1-3 yds to go
4-6,132,5.20,3.98,66,223,3.4,3,17,31,62,50,350,5.6,5,0,4,23,94.2,6.8,All Colts plays with 4-6 yds to go
7-9,143,7.89,6.47,50,218,4.4,1,9,56,91,61.5,723,7.9,4,3,2,37,87.4,7.2,All Colts plays with 7-9 yds to go
10+,626,10.82,5.89,281,1566,5.6,4,46,181,324,55.9,2263,7.0,6,14,21,80,65.9,5.1,All Colts plays with 10+ yds to go
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Yards to Go,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1-3,166,1.86,3.87,105,340,3.2,8,60,32,54,59.3,342,6.3,3,3,7,28,73.2,4.4,All Opponent plays with 1-3 yds to go
4-6,156,5.10,6.35,62,442,7.1,5,28,56,90,62.2,590,6.6,10,2,4,45,109.0,7.4,All Opponent plays with 4-6 yds to go
7-9,165,7.96,5.21,55,203,3.7,0,7,73,101,72.3,720,7.1,6,2,9,38,103.6,6.8,All Opponent plays with 7-9 yds to go
10+,625,10.99,5.83,309,1256,4.1,5,32,217,300,72.3,2490,8.3,8,9,16,80,93.3,7.1,All Opponent plays with 10+ yds to go
