Down & Yards to Go,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
1st & 10,421,10.00,6.28,236,1290,5.5,3,38,105,179,58.7,1377,7.7,4,7,6,53,74.2,6.2,All Colts plays with 1st & 10 yds to go
1st & >10,17,17.47,6.65,5,47,9.4,0,2,7,11,63.6,76,6.9,0,1,1,2,46.0,2.6,All Colts plays with 1st & >10 yds to go
1st & <10,26,5.15,2.35,21,47,2.2,4,4,3,5,60,14,2.8,2,0,0,2,104.2,10.8,All Colts plays with 1st & <10 yds to go
2nd & 1-3,50,1.96,4.66,41,114,2.8,4,21,6,9,66.7,119,13.2,1,0,0,6,146.8,15.4,All Colts plays with 2nd & 1-3 yds to go
2nd & 4-6,67,5.30,4.07,46,149,3.2,0,11,12,19,63.2,145,7.6,1,0,2,9,104.1,7.9,All Colts plays with 2nd & 4-6 yds to go
2nd & 7-9,88,7.88,6.78,35,149,4.3,1,7,33,52,63.5,456,8.8,2,2,1,21,88.3,7.7,All Colts plays with 2nd & 7-9 yds to go
2nd & 10+,125,11.71,3.77,23,110,4.8,1,2,44,91,48.4,446,4.9,0,6,11,13,35.3,1.7,All Colts plays with 2nd & 10+ yds to go
3rd & 1-3,65,1.88,4.15,42,155,3.7,5,27,11,20,55,124,6.2,2,2,3,11,67.5,3.2,All Colts plays with 3rd & 1-3 yds to go
3rd & 4-6,47,5.09,4.45,11,46,4.2,1,4,15,34,44.1,190,5.6,3,0,2,12,91.5,6.9,All Colts plays with 3rd & 4-6 yds to go
3rd & 7-9,47,7.87,6.17,9,53,5.9,0,2,21,37,56.8,245,6.6,1,1,1,14,74.7,5.8,All Colts plays with 3rd & 7-9 yds to go
3rd & 10+,60,12.80,7.02,16,108,6.8,0,3,23,41,56.1,336,8.2,2,0,3,10,99.2,8.5,All Colts plays with 3rd & 10+ yds to go
4th & 1-3,19,1.89,2.58,10,39,3.9,1,8,4,7,57.1,20,2.9,2,0,2,4,101.8,6.7,All Colts plays with 4th & 1-3 yds to go
4th & 4-6,5,5.40,1.60,0,0,,0,0,2,5,40,8,1.6,0,0,0,1,47.9,1.6,All Colts plays with 4th & 4-6 yds to go
4th & 7-9,1,8.00,15.00,0,0,,0,0,1,1,100,15,15.0,0,0,0,1,118.8,15.0,All Colts plays with 4th & 7-9 yds to go
4th & 10+,3,11.33,13.00,1,11,11.0,0,1,2,2,100,28,14.0,0,0,0,2,118.8,14.0,All Colts plays with 4th & 10+ yds to go
3rd/4th & short,84,1.88,3.80,52,194,3.7,6,35,15,27,55.6,144,5.3,4,2,5,15,79.3,4.2,All Colts plays with 3rd/4th & short yds to go
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Down & Yards to Go,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1st & 10,434,10.00,5.19,250,958,3.8,3,26,123,173,71.1,1352,7.8,2,6,11,46,83.3,6.1,All Opponent plays with 1st & 10 yds to go
1st & >10,23,18.04,6.35,14,85,6.1,0,1,7,9,77.8,61,6.8,0,0,0,0,94.9,6.8,All Opponent plays with 1st & >10 yds to go
1st & <10,30,4.97,2.17,18,36,2.0,2,3,7,11,63.6,29,2.6,5,0,1,5,107.2,10.8,All Opponent plays with 1st & <10 yds to go
2nd & 1-3,59,1.93,4.14,41,166,4.0,5,23,10,16,62.5,87,5.4,0,1,2,7,50.8,2.3,All Opponent plays with 2nd & 1-3 yds to go
2nd & 4-6,87,5.22,6.70,47,344,7.3,2,20,24,40,60,239,6.0,0,0,0,17,77.0,6.0,All Opponent plays with 2nd & 4-6 yds to go
2nd & 7-9,110,7.96,5.28,45,164,3.6,0,6,45,62,72.6,440,7.1,2,2,3,21,89.4,6.0,All Opponent plays with 2nd & 7-9 yds to go
2nd & 10+,114,12.36,7.65,37,142,3.8,1,3,60,76,78.9,730,9.6,4,1,1,25,118.8,9.9,All Opponent plays with 2nd & 10+ yds to go
3rd & 1-3,78,1.92,4.13,46,171,3.7,1,30,15,27,55.6,181,6.7,0,2,5,14,45.4,2.8,All Opponent plays with 3rd & 1-3 yds to go
3rd & 4-6,59,4.98,6.36,9,75,8.3,3,7,30,46,65.2,341,7.4,8,2,4,26,108.8,8.2,All Opponent plays with 3rd & 4-6 yds to go
3rd & 7-9,45,7.91,5.58,6,30,5.0,0,1,24,34,70.6,262,7.7,2,0,5,15,112.6,7.7,All Opponent plays with 3rd & 7-9 yds to go
3rd & 10+,52,12.94,6.87,8,71,8.9,1,2,26,40,65,327,8.2,2,2,4,9,86.1,6.3,All Opponent plays with 3rd & 10+ yds to go
4th & 1-3,19,1.32,3.79,10,-1,-0.1,0,5,6,9,66.7,73,8.1,2,0,0,6,131.0,12.6,All Opponent plays with 4th & 1-3 yds to go
4th & 4-6,0,,,,,,,,,,,,,,,,,,,All Opponent plays with 4th & 4-6 yds to go
4th & 7-9,0,,,,,,,,,,,,,,,,,,,All Opponent plays with 4th & 7-9 yds to go
4th & 10+,2,16.00,10.00,0,0,,0,0,1,2,50,20,10.0,0,0,0,0,85.4,10.0,All Opponent plays with 4th & 10+ yds to go
3rd/4th & short,97,1.80,4.06,56,170,3.0,1,35,21,36,58.3,254,7.1,2,2,5,20,75.5,5.0,All Opponent plays with 3rd/4th & short yds to go
