Game Location,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
Home,471,8.28,5.87,251,1271,5.1,12,66,115,207,55.6,1586,7.7,8,7,13,65,79.1,6.5,All Home Colts plays
Away,570,8.70,5.13,245,1047,4.3,8,64,174,306,56.9,2013,6.6,12,12,19,96,73.6,5.3,All Away Colts plays
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Game Location,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
Home,563,8.15,5.30,258,1036,4.0,11,66,185,283,65.4,2096,7.4,9,8,22,97,86.2,6.3,All Home Opponent plays
Away,549,8.56,5.75,273,1205,4.4,7,61,193,262,73.7,2046,7.8,18,8,14,94,106.2,7.4,All Away Opponent plays
