Snap Type & Huddle,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A
No Huddle,113,8.12,4.64,47,150,3.2,2,15,34,61,55.7,395,6.5,0,0,5,17,75.5,6.0
Huddle,928,8.55,5.57,449,2168,4.8,18,115,255,452,56.4,3204,7.1,20,19,27,144,75.9,5.7
Shotgun,758,8.63,5.68,275,1282,4.7,15,78,256,452,56.6,3242,7.2,19,15,31,144,79.4,6.1
Under Center,283,8.19,4.89,221,1036,4.7,5,52,33,61,54.1,357,5.9,1,4,1,17,49.7,3.2
,Rushing,Passing,,,,,,,,,,,,,,,,,
Snap Type & Huddle,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A
No Huddle,99,7.91,5.56,35,115,3.3,0,8,43,60,71.7,460,7.7,1,2,4,19,85.4,6.1
Huddle,1013,8.39,5.52,496,2126,4.3,18,119,335,485,69.1,3682,7.6,26,14,32,172,97.1,6.9
Shotgun,667,8.61,6.01,217,1043,4.8,9,55,299,421,71,3167,7.5,24,13,29,145,98.7,6.8
Under Center,445,7.97,4.78,314,1198,3.8,9,72,79,124,63.7,975,7.9,3,3,7,46,85.9,6.9
