Field Position,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
Own 1-10,30,10.73,4.43,13,71,5.5,0,2,7,17,41.2,62,3.6,0,1,0,4,27.1,1.0,All Colts plays in Own 1-10
Own 1-20,116,10.38,4.58,53,227,4.3,0,6,28,61,45.9,319,5.2,0,2,2,15,48.5,3.6,All Colts plays in Own 1-20
Own 21-50,447,8.86,6.59,185,972,5.3,2,47,150,243,61.7,2110,8.7,4,8,19,85,81.5,7.0,All Colts plays in Own 21-50
Opp 49-20,319,8.37,5.64,159,874,5.5,3,50,82,151,54.3,980,6.5,3,8,9,44,58.9,4.3,All Colts plays in Opp 49-20
Red Zone,159,6.42,2.62,99,245,2.5,15,27,29,58,50,190,3.3,13,1,2,17,89.8,6.8,All Colts plays in Red Zone
Opp 1-10,80,4.35,2.01,56,93,1.7,15,17,13,23,56.5,71,3.1,10,1,1,11,83.5,9.4,All Colts plays in Opp 1-10
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Field Position,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
Own 1-10,19,11.58,6.58,12,67,5.6,0,2,6,7,85.7,58,8.3,0,0,0,2,101.2,8.3,All Opponent plays in Own 1-10
Own 1-20,72,10.67,9.43,33,197,6.0,0,9,31,36,86.1,505,14.0,1,1,3,16,116.4,12.3,All Opponent plays in Own 1-20
Own 21-50,528,8.57,5.85,241,1184,4.9,1,57,182,270,67.4,2007,7.4,1,9,17,90,76.6,5.7,All Opponent plays in Own 21-50
Opp 49-20,349,8.47,5.21,170,592,3.5,1,32,120,169,71,1308,7.7,5,4,10,55,93.5,6.9,All Opponent plays in Opp 49-20
Red Zone,163,6.37,3.40,87,268,3.1,16,29,45,70,64.3,322,4.6,20,2,6,30,102.5,8.3,All Opponent plays in Red Zone
Opp 1-10,75,4.99,1.44,38,44,1.2,10,13,20,31,64.5,98,3.2,14,1,6,14,95.2,9.0,All Opponent plays in Opp 1-10
