Score Differential,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
Leading,290,8.64,4.20,161,600,3.7,5,27,66,122,54.1,686,5.6,3,4,7,33,65.1,4.4,All Colts plays when Leading
Tied,214,8.21,6.19,105,589,5.6,4,30,53,101,52.5,787,7.8,4,4,8,33,75.0,6.3,All Colts plays when Tied
Trailing,537,8.55,5.87,230,1129,4.9,11,73,170,290,58.6,2126,7.3,13,11,17,95,80.6,6.2,All Colts plays when Trailing
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Score Differential,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
Leading,480,8.08,5.52,199,787,4.0,10,55,181,263,68.8,2002,7.6,14,10,18,90,93.1,6.5,All Opponent plays when Leading
Tied,208,8.38,4.86,98,426,4.3,1,19,68,100,68,650,6.5,4,3,10,33,86.7,5.4,All Opponent plays when Tied
Trailing,424,8.64,5.85,234,1028,4.4,7,53,129,182,70.9,1490,8.2,9,3,8,68,104.9,8.1,All Opponent plays when Trailing
