Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,219,83,37.9%,28,17,60.7%,52,28,53.8%
Opp. Stats,234,104,44.4%,21,11,52.4%,61,37,60.7%
Lg Rank Offense,,,18,,,12,,,22
Lg Rank Defense,,,30,,,10,,,23
