Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,YdsR,TD,Int,NY/A,1stDR,AttR,YdsRR,TDR,Y/A,1stDRR,Pen,YdsRRR,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,YdsRRRR,Pts
Team Stats,377,5692,1041,5.5,29,10,315,289,513,3361,20,19,6.2,161,496,2331,20,4.7,130,93,684,24,194,36.6,14.9,Own 28.9,2:27,5.56,29.3,1.92
Opp. Stats,427,6140,1112,5.5,25,9,343,378,545,3899,27,16,6.7,191,531,2241,18,4.2,127,92,862,25,196,38.3,12.8,Own 32.1,2:49,5.9,31.3,2.07
Lg Rank Offense,17,13,,,29,22,20,,27,25,25,29,16,,7,8,7,8,,,,,,20,4,27,32,30,21,18
Lg Rank Defense,24,29,,,7,13,23,,14,26,19,5,29,,31,24,18,8,,,,,,19,9,28,20,12,16,17
