Rk,Gtm,Week,Date,Day,,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,YdsR,AttR,YdsRR,TDR,Y/AR,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,YdsRRR,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,PenR,YdsRRRR,FL,Int,TO,ToP
1,1,1,2024-09-08,Sun,,HOU,L,27,29,,9,19,47.4,199,2,10.5,10.21,98.4,2,13,22,104,2,4.7,43,303,7.05,0,0,3,3,3,152,4,9,1,14,5,10,1,2,4,20,0,1,1,20:00
2,2,2,2024-09-15,Sun,@,GNB,L,10,16,,17,34,50.0,198,1,5.8,2.44,41.1,1,6,18,140,0,7.8,53,338,6.38,2,1,1,1,3,161,10,8,1,19,2,9,1,2,3,20,0,3,3,19:49
3,3,3,2024-09-22,Sun,,CHI,W,21,16,,10,20,50.0,156,0,7.8,3.30,36.7,1,11,33,150,3,4.5,54,306,5.67,0,0,3,3,5,245,4,9,2,15,3,12,0,1,9,78,0,2,2,24:59
4,4,4,2024-09-29,Sun,,PIT,W,27,24,,19,30,63.3,225,2,7.5,8.83,108.3,2,14,32,133,1,4.2,64,358,5.59,3,2,3,3,4,170,13,7,2,22,8,15,0,0,4,38,0,0,0,28:53
5,5,5,2024-10-06,Sun,@,JAX,L,34,37,,34,45,75.6,348,3,7.7,9.07,119.5,4,35,20,99,1,5.0,69,447,6.48,2,2,4,4,4,210,17,7,1,25,7,14,1,1,5,34,1,0,1,31:32
6,6,6,2024-10-13,Sun,@,TEN,W,20,17,,22,38,57.9,189,2,5.0,4.84,77.6,0,0,28,80,0,2.9,66,269,4.08,2,2,2,2,5,271,11,4,5,20,7,15,1,1,5,40,0,1,1,29:28
7,7,7,2024-10-20,Sun,,MIA,W,16,10,,10,24,41.7,129,0,5.4,5.38,59.2,0,0,37,155,1,4.2,61,284,4.66,3,3,1,1,7,337,6,10,0,16,4,13,0,0,4,25,1,0,1,28:49
8,8,8,2024-10-27,Sun,@,HOU,L,20,23,,10,32,31.3,140,1,4.4,3.59,43.7,5,35,26,163,1,6.3,63,303,4.81,2,2,2,2,6,283,7,10,0,17,2,13,2,2,9,57,1,1,2,24:40
9,9,9,2024-11-03,Sun,@,MIN,L,13,21,,16,27,59.3,159,0,5.9,4.22,60.6,3,20,19,68,0,3.6,49,227,4.63,3,2,1,1,3,148,9,3,1,13,3,11,1,2,7,50,1,1,2,23:06
10,10,10,2024-11-10,Sun,,BUF,L,20,30,,26,35,74.3,240,2,6.9,4.14,75.9,4,32,22,121,0,5.5,61,361,5.92,2,2,2,2,2,108,14,4,1,19,4,11,2,3,5,25,1,3,4,27:52
11,11,11,2024-11-17,Sun,@,NYJ,W,28,27,,20,30,66.7,241,1,8.0,8.70,102.2,2,31,35,91,2,2.6,67,332,4.96,3,3,1,1,4,200,13,5,0,18,6,15,1,2,5,40,1,0,1,34:17
12,12,12,2024-11-24,Sun,,DET,L,6,24,,11,28,39.3,172,0,6.1,6.14,60.4,0,0,21,96,0,4.6,49,268,5.47,2,2,0,0,6,317,7,3,1,11,3,12,0,1,10,75,0,0,0,22:59
13,13,13,2024-12-01,Sun,@,NWE,W,25,24,,12,24,50.0,109,2,4.5,2.46,55.7,0,0,34,144,1,4.2,58,253,4.36,1,1,2,2,2,100,5,13,2,20,5,11,3,3,2,15,0,2,2,25:48
14,14,15,2024-12-15,Sun,@,DEN,L,13,31,,17,38,44.7,161,0,4.2,1.87,35.1,2,11,32,149,1,4.7,72,310,4.31,2,2,1,1,5,259,8,7,3,18,4,15,2,4,8,69,3,2,5,31:32
15,15,16,2024-12-22,Sun,,TEN,W,38,30,,7,11,63.6,123,1,11.2,8.91,94.1,1,8,50,335,4,6.7,62,458,7.39,2,1,5,5,4,189,6,12,1,19,8,15,1,1,7,62,0,1,1,33:01
16,16,17,2024-12-29,Sun,@,NYG,L,33,45,,26,38,68.4,320,2,8.4,7.11,89.8,2,10,33,126,2,3.8,73,446,6.11,3,2,3,3,1,32,16,7,2,25,7,13,1,2,3,21,1,2,3,33:23
17,17,18,2025-01-05,Sun,,JAX,W,26,23,OT,23,40,57.5,252,1,6.3,6.80,84.6,3,12,34,177,1,5.2,77,429,5.57,5,4,2,2,4,200,11,12,1,24,5,15,0,1,3,15,0,0,0,35:58
,,,,,,,8-9,377,427,,289,513,56.3,3361,20,6.6,5.66,73.9,32,238,496,2331,20,4.7,1041,5692,5.47,37,31,36,36,68,3382,161,130,24,315,83,219,17,28,93,684,10,19,29,476:06
