Rk,Player,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1,Rigoberto Sanchez,30,P,17,0,68,3382,49.7,406,2896,42.6,65,4,5.9,27,39.7,0,
,Team Totals,,,17,,68,3382,49.7,406,2896,42.6,65,4,5.9,27,39.7,0,
