no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass
0.008395222,0.17558229,0.004213578,0.24522717,0.21946864,0.003933415,0.34317964,0.0,0.0,0.816766,1.2140468,1.2140468,-1.2140468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418533,0.4581467,0.5418533,0.4581467,0.030720055,0.57257336,0.42742664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2140468,0.0,0.0,0.0,0.0,0.0,0.0
0.0081206905,0.12454287,0.0018203808,0.18530689,0.2582536,0.0046438505,0.4173117,0.0,0.0,2.0308127,1.0241061,2.238153,-2.238153,0.0,0.0,1.0241061,-1.0241061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57257336,0.42742664,0.57257336,0.42742664,0.011873305,0.58444667,0.41555333,0.0,0.0,0.011873305,-0.011873305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0241061,0.0,0.0,0.0,0.0,0.0,0.0
0.008576105,0.08412648,0.0014852156,0.125625,0.31195354,0.0047705043,0.46346316,0.0,0.0,3.0549188,0.9311326,3.1692855,-3.1692855,0.0,0.0,1.9552387,-1.9552387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58444667,0.41555333,0.58444667,0.41555333,0.049034894,0.63348156,0.36651844,0.0,0.0,0.0609082,-0.0609082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9311326,0.0,0.0,0.0,0.0,0.0,0.0
0.00475414,0.04547987,0.00077142654,0.07135541,0.37835094,0.0013096192,0.49797854,0.0,0.0,3.9860516,-0.38706848,2.782217,-2.782217,0.0,0.0,1.5681702,-1.5681702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63348156,0.36651844,0.63348156,0.36651844,-0.014565885,0.6189157,0.38108432,0.0,0.0,0.046342313,-0.046342313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38706848,0.0,0.0,0.0,0.0,0.0,0.0
0.0049177073,0.05588569,0.000792109,0.08039265,0.4170904,0.0013496618,0.43957177,0.0,0.0,3.598983,-0.5061327,2.2760842,-2.2760842,0.0,0.0,1.0620375,-1.0620375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6189157,0.38108432,0.6189157,0.38108432,-0.020651221,0.59826446,0.40173554,0.0,0.0,0.025691092,-0.025691092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5061327,0.0,0.0,0.0,0.0,0.0,0.0
0.0051285205,0.06011936,0.00077506725,0.084330186,0.51886994,0.0013957027,0.32938123,0.0,0.0,3.0928502,1.8496873,4.1257715,-4.1257715,0.0,0.0,2.9117248,-2.9117248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59826446,0.40173554,0.59826446,0.40173554,0.06990713,0.6681716,0.33182842,0.0,0.0,0.09559822,-0.09559822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8496873,0.0,0.0,0.0,0.0,0.0,0.0
0.0019068187,0.017834783,0.0005639188,0.03160735,0.35299447,0.0012421918,0.5938505,0.0,0.0,4.942538,-0.19147994,3.9342916,-3.9342916,0.0,0.0,2.720245,-2.720245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6681716,0.33182842,0.6681716,0.33182842,0.003981769,0.67215335,0.32784665,0.0,0.0,0.09957999,-0.09957999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19147994,0.0,0.0,0.0,0.0,0.0,0.0
0.0023578545,0.016005917,0.00049827364,0.026362319,0.42293566,0.001415781,0.53042424,0.0,0.0,4.7510576,-0.5623395,3.3719523,-3.3719523,0.0,0.0,2.720245,-2.720245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67215335,0.32784665,0.67215335,0.32784665,-0.03403139,0.63812196,0.36187804,0.0,0.0,0.09957999,-0.09957999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5623395,0.0,0.0,0.0,0.0,0.0,0.0
0.002708461,0.020555785,0.0006217557,0.03758718,0.51224655,0.0011924198,0.42508784,0.0,0.0,4.1887183,-0.72506374,2.6468885,-2.6468885,0.0,0.0,1.9951812,-1.9951812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63812196,0.36187804,0.63812196,0.36187804,-0.025550365,0.6125716,0.3874284,0.0,0.0,0.074029624,-0.074029624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72506374,0.0,0.0,0.0,0.0,0.0,0.0
0.0030631023,0.022936098,0.00066901435,0.04322794,0.66700035,0.0012657507,0.2618377,0.0,0.0,3.4636545,-1.0468636,1.6000249,-1.6000249,0.0,0.0,0.94831765,-0.94831765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125716,0.3874284,0.6125716,0.3874284,-0.039744377,0.5728272,0.42717278,0.0,0.0,0.034285247,-0.034285247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0468636,0.0,0.0,0.0,0.0,0.0,0.0
