play_id,game_id,old_game_id,season_type,week,game_date,season,order_sequence,nfl_api_id,id
937.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,937.0,10012004-0909-001f-19a6-c1679a205a38,00-0019596
958.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,958.0,10012004-0909-001f-19a6-c1679a205a38,00-0019596
977.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,977.0,10012004-0909-001f-19a6-c1679a205a38,0
1011.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1011.0,10012004-0909-001f-19a6-c1679a205a38,00-0008241
1036.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1036.0,10012004-0909-001f-19a6-c1679a205a38,00-0008241
1057.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1057.0,10012004-0909-001f-19a6-c1679a205a38,00-0008241
1078.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1078.0,10012004-0909-001f-19a6-c1679a205a38,00-0019863
1099.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1099.0,10012004-0909-001f-19a6-c1679a205a38,00-0019863
1120.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1120.0,10012004-0909-001f-19a6-c1679a205a38,00-0008241
1141.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1141.0,10012004-0909-001f-19a6-c1679a205a38,00-0008241
1162.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1162.0,10012004-0909-001f-19a6-c1679a205a38,00-0019863
1183.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1183.0,10012004-0909-001f-19a6-c1679a205a38,00-0019863
1200.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1200.0,10012004-0909-001f-19a6-c1679a205a38,0
1216.0,2004_01_IND_NE,2004090900,REG,1,2004-09-09,2004,1216.0,10012004-0909-001f-19a6-c1679a205a38,0
