vegas_wpa,vegas_home_wpa,vegas_wp,vegas_home_wp,result,total,spread_line,total_line
0.03160152,0.03160152,0.3030163,0.3030163,3,51,3.0,44.5
-0.02938959,-0.02938959,0.33461782,0.33461782,3,51,3.0,44.5
0.010729492,0.010729492,0.30522823,0.30522823,3,51,3.0,44.5
-0.03457707,-0.03457707,0.31595773,0.31595773,3,51,3.0,44.5
0.08025172,0.08025172,0.28138065,0.28138065,3,51,3.0,44.5
-0.010578364,-0.010578364,0.36163238,0.36163238,3,51,3.0,44.5
0.052615464,0.052615464,0.351054,0.351054,3,51,3.0,44.5
0.0018693209,-0.0018693209,0.5963305,0.40366948,3,51,3.0,44.5
-0.018056035,0.018056035,0.59819984,0.40180016,3,51,3.0,44.5
-0.014018595,0.014018595,0.5801438,0.4198562,3,51,3.0,44.5
-0.053432763,0.053432763,0.5661252,0.4338748,3,51,3.0,44.5
0.040175438,-0.040175438,0.51269245,0.48730755,3,51,3.0,44.5
-0.01721394,-0.01721394,0.4471321,0.4471321,3,51,3.0,44.5
-0.008562624,-0.008562624,0.42991817,0.42991817,3,51,3.0,44.5
0.056928456,0.056928456,0.42135555,0.42135555,3,51,3.0,44.5
-0.027053893,-0.027053893,0.478284,0.478284,3,51,3.0,44.5
0.058263063,0.058263063,0.4512301,0.4512301,3,51,3.0,44.5
0.035078406,0.035078406,0.5094932,0.5094932,3,51,3.0,44.5
0.014577508,0.014577508,0.5445716,0.5445716,3,51,3.0,44.5
0.09703361,0.09703361,0.5591491,0.5591491,3,51,3.0,44.5
0.010341589,0.010341589,0.6561827,0.6561827,3,51,3.0,44.5
-0.0,0.0,0.3334757,0.6665243,3,51,3.0,44.5
-0.0043886304,0.0043886304,0.3334757,0.6665243,3,51,3.0,44.5
-0.0240255,0.0240255,0.32908708,0.6709129,3,51,3.0,44.5
0.056441247,-0.056441247,0.30506158,0.6949384,3,51,3.0,44.5
-0.0045541525,0.0045541525,0.36150283,0.6384972,3,51,3.0,44.5
-0.015562326,0.015562326,0.35694867,0.6430513,3,51,3.0,44.5
-0.012166679,0.012166679,0.34138635,0.6586137,3,51,3.0,44.5
0.06797096,-0.06797096,0.32921967,0.6707803,3,51,3.0,44.5
0.023474842,-0.023474842,0.39719063,0.60280937,3,51,3.0,44.5
-0.018908978,0.018908978,0.42066547,0.5793345,3,51,3.0,44.5
-0.040432245,0.040432245,0.4017565,0.5982435,3,51,3.0,44.5
0.1034773,-0.1034773,0.36132425,0.63867575,3,51,3.0,44.5
-0.1707676,0.1707676,0.46480155,0.53519845,3,51,3.0,44.5
0.0076979995,0.0076979995,0.70596606,0.70596606,3,51,3.0,44.5
-0.0016476512,-0.0016476512,0.71366405,0.71366405,3,51,3.0,44.5
-0.018875837,-0.018875837,0.7120164,0.7120164,3,51,3.0,44.5
0.104408026,0.104408026,0.69314057,0.69314057,3,51,3.0,44.5
0.030177712,0.030177712,0.7975486,0.7975486,3,51,3.0,44.5
0.01063025,0.01063025,0.8277263,0.8277263,3,51,3.0,44.5
0.03657153,0.03657153,0.83835655,0.83835655,3,51,3.0,44.5
0.007996727,0.007996727,0.87492806,0.87492806,3,51,3.0,44.5
0.010686219,-0.010686219,0.11707519,0.8829248,3,51,3.0,44.5
0.0110973865,-0.0110973865,0.12776141,0.8722386,3,51,3.0,44.5
0.009985298,-0.009985298,0.1388588,0.8611412,3,51,3.0,44.5
0.028359413,-0.028359413,0.1488441,0.8511559,3,51,3.0,44.5
-0.0,0.0,0.1772035,0.82279646,3,51,3.0,44.5
-0.007667005,0.007667005,0.1772035,0.82279646,3,51,3.0,44.5
0.0015803576,-0.0015803576,0.1695365,0.8304635,3,51,3.0,44.5
0.030817494,-0.030817494,0.17111686,0.8288832,3,51,3.0,44.5
-0.012418732,0.012418732,0.20193435,0.79806566,3,51,3.0,44.5
0.02027297,-0.02027297,0.18951562,0.8104844,3,51,3.0,44.5
0.018868014,-0.018868014,0.20978859,0.79021144,3,51,3.0,44.5
0.0058467984,-0.0058467984,0.2286566,0.7713434,3,51,3.0,44.5
-0.015459746,0.015459746,0.2345034,0.7654966,3,51,3.0,44.5
-0.022320673,0.022320673,0.21904366,0.7809563,3,51,3.0,44.5
0.06804744,-0.06804744,0.19672298,0.803277,3,51,3.0,44.5
0.003963966,-0.003963966,0.26477042,0.73522955,3,51,3.0,44.5
0.0049659014,0.0049659014,0.7312656,0.7312656,3,51,3.0,44.5
0.012953103,0.012953103,0.7362315,0.7362315,3,51,3.0,44.5
0.023606539,0.023606539,0.7491846,0.7491846,3,51,3.0,44.5
0.038445413,0.038445413,0.77279115,0.77279115,3,51,3.0,44.5
0.016197205,0.016197205,0.81123656,0.81123656,3,51,3.0,44.5
-0.01787597,-0.01787597,0.82743376,0.82743376,3,51,3.0,44.5
-0.034782648,-0.034782648,0.8095578,0.8095578,3,51,3.0,44.5
-0.10918105,-0.10918105,0.77477515,0.77477515,3,51,3.0,44.5
0.017682612,-0.017682612,0.3344059,0.6655941,3,51,3.0,44.5
-0.033435762,0.033435762,0.3520885,0.6479115,3,51,3.0,44.5
0.046675712,-0.046675712,0.31865275,0.68134725,3,51,3.0,44.5
-0.023647815,0.023647815,0.36532846,0.63467157,3,51,3.0,44.5
-0.043604374,0.043604374,0.34168065,0.65831935,3,51,3.0,44.5
-0.050988004,0.050988004,0.29807627,0.7019237,3,51,3.0,44.5
0.2099546,-0.2099546,0.24708827,0.75291175,3,51,3.0,44.5
0.009031922,-0.009031922,0.45704287,0.5429571,3,51,3.0,44.5
0.0349994,-0.0349994,0.4660748,0.5339252,3,51,3.0,44.5
-0.007279843,0.007279843,0.5010742,0.4989258,3,51,3.0,44.5
-0.024344236,0.024344236,0.49379435,0.5062057,3,51,3.0,44.5
0.162934,-0.162934,0.46945012,0.5305499,3,51,3.0,44.5
-0.3837871,0.3837871,0.6323841,0.36761588,3,51,3.0,44.5
-0.036973655,-0.036973655,0.751403,0.751403,3,51,3.0,44.5
-0.0006913543,-0.0006913543,0.7144293,0.7144293,3,51,3.0,44.5
0.08476126,0.08476126,0.71373796,0.71373796,3,51,3.0,44.5
0.09614295,0.09614295,0.7984992,0.7984992,3,51,3.0,44.5
-0.013804555,-0.013804555,0.8946422,0.8946422,3,51,3.0,44.5
-0.063553154,-0.063553154,0.8808376,0.8808376,3,51,3.0,44.5
-0.054906845,-0.054906845,0.81728446,0.81728446,3,51,3.0,44.5
0.26689798,-0.26689798,0.23762238,0.7623776,3,51,3.0,44.5
-0.0030488968,0.0030488968,0.50452036,0.49547964,3,51,3.0,44.5
-0.04757762,0.04757762,0.50147146,0.49852854,3,51,3.0,44.5
-0.27364838,0.27364838,0.45389384,0.54610616,3,51,3.0,44.5
-0.1589191,0.1589191,0.18024546,0.81975454,3,51,3.0,44.5
0.0,0.021326363,0.97867364,0.97867364,3,51,3.0,44.5
0.0,0.0,0.0,1.0,3,51,3.0,44.5
-0.005861312,-0.005861312,0.45374456,0.45374456,-14,48,-1.5,47.0
0.018980294,0.018980294,0.44788325,0.44788325,-14,48,-1.5,47.0
0.00436458,0.00436458,0.46686354,0.46686354,-14,48,-1.5,47.0
-0.020696342,-0.020696342,0.47122812,0.47122812,-14,48,-1.5,47.0
0.05214846,0.05214846,0.45053178,0.45053178,-14,48,-1.5,47.0
-0.01592356,-0.01592356,0.50268024,0.50268024,-14,48,-1.5,47.0
-0.0027430952,-0.0027430952,0.48675668,0.48675668,-14,48,-1.5,47.0
0.007254958,0.007254958,0.4840136,0.4840136,-14,48,-1.5,47.0
0.029745013,0.029745013,0.49126855,0.49126855,-14,48,-1.5,47.0
0.05670557,0.05670557,0.52101356,0.52101356,-14,48,-1.5,47.0
0.010108671,0.010108671,0.57771915,0.57771915,-14,48,-1.5,47.0
0.007791221,-0.007791221,0.4121722,0.5878278,-14,48,-1.5,47.0
0.0063397884,-0.0063397884,0.41996342,0.5800366,-14,48,-1.5,47.0
0.03947687,-0.03947687,0.4263032,0.5736968,-14,48,-1.5,47.0
-0.0034631193,0.0034631193,0.46578008,0.5342199,-14,48,-1.5,47.0
-0.003469944,0.003469944,0.46231696,0.537683,-14,48,-1.5,47.0
0.032916844,-0.032916844,0.45884702,0.54115295,-14,48,-1.5,47.0
0.047112375,-0.047112375,0.49176386,0.50823617,-14,48,-1.5,47.0
-0.0018129945,0.0018129945,0.53887624,0.46112376,-14,48,-1.5,47.0
0.03342545,-0.03342545,0.53706324,0.46293676,-14,48,-1.5,47.0
0.0032091737,-0.0032091737,0.5704887,0.4295113,-14,48,-1.5,47.0
-0.024122357,0.024122357,0.57369787,0.42630213,-14,48,-1.5,47.0
-0.025298953,0.025298953,0.5495755,0.4504245,-14,48,-1.5,47.0
-0.030883938,0.030883938,0.52427655,0.47572345,-14,48,-1.5,47.0
-0.0075745285,0.0075745285,0.49339262,0.5066074,-14,48,-1.5,47.0
0.0037306547,0.0037306547,0.5141819,0.5141819,-14,48,-1.5,47.0
-0.01776898,-0.01776898,0.51791257,0.51791257,-14,48,-1.5,47.0
0.04054576,0.04054576,0.5001436,0.5001436,-14,48,-1.5,47.0
0.010259032,0.010259032,0.54068935,0.54068935,-14,48,-1.5,47.0
-0.0011258721,-0.0011258721,0.5509484,0.5509484,-14,48,-1.5,47.0
0.021992624,0.021992624,0.5498225,0.5498225,-14,48,-1.5,47.0
0.017697632,0.017697632,0.57181513,0.57181513,-14,48,-1.5,47.0
-0.019272208,-0.019272208,0.58951277,0.58951277,-14,48,-1.5,47.0
