Rk,Player,Age,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,RetR,YdsR,KRTD,LngR,Y/RetR,APYd,Awards
1,Jason David,22,RCB,16,11,8,50,0,13,6.3,0,0,0,0,,86,
2,Dominic Rhodes,25,RB,16,0,0,0,0,0,,48,1188,1,88,24.8,1466,
3,James Mungro,26,RB,15,0,0,0,0,0,,7,111,0,24,15.9,166,
4,Brad Pyatt,24,WR,8,0,8,47,0,13,5.9,10,230,0,32,23.0,289,
5,Aaron Moorehead,24,WR,7,0,1,34,0,34,34.0,0,0,0,0,,41,
6,Troy Walters,28,WR,5,0,7,40,0,14,5.7,1,16,0,16,16.0,61,
,Team Totals,,,16,,24,171,0,34,7.1,66,1545,1,88,23.4,2109,
