Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2004-09-09,@,NWE,"L, 24-27",2,3,rush,Dominic Rhodes 3 yard rush (Mike Vanderjagt kick)
2,2004-09-09,@,NWE,"L, 24-27",2,3,pass,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick)
3,2004-09-09,@,NWE,"L, 24-27",4,7,pass,Brandon Stokley 7 yard pass from Peyton Manning (Mike Vanderjagt kick)
4,2004-09-19,@,TEN,"W, 31-17",3,5,pass,Reggie Wayne 5 yard pass from Peyton Manning (Mike Vanderjagt kick)
5,2004-09-19,@,TEN,"W, 31-17",4,1,pass,Marcus Pollard 1 yard pass from Peyton Manning (Mike Vanderjagt kick)
6,2004-09-19,@,TEN,"W, 31-17",4,4,rush,Edgerrin James 4 yard rush (Mike Vanderjagt kick)
7,2004-09-19,@,TEN,"W, 31-17",4,30,rush,Edgerrin James 30 yard rush (Mike Vanderjagt kick)
8,2004-09-26,,GNB,"W, 45-31",1,36,pass,Reggie Wayne 36 yard pass from Peyton Manning (Mike Vanderjagt kick)
9,2004-09-26,,GNB,"W, 45-31",1,28,pass,Marvin Harrison 28 yard pass from Peyton Manning (Mike Vanderjagt kick)
10,2004-09-26,,GNB,"W, 45-31",1,34,pass,Brandon Stokley 34 yard pass from Peyton Manning (Mike Vanderjagt kick)
11,2004-09-26,,GNB,"W, 45-31",2,27,pass,Brandon Stokley 27 yard pass from Peyton Manning (Mike Vanderjagt kick)
12,2004-09-26,,GNB,"W, 45-31",2,1,pass,James Mungro 1 yard pass from Peyton Manning (Mike Vanderjagt kick)
13,2004-09-26,,GNB,"W, 45-31",4,1,rush,Edgerrin James 1 yard rush (Mike Vanderjagt kick)
14,2004-10-03,@,JAX,"W, 24-17",1,15,pass,Marvin Harrison 15 yard pass from Peyton Manning (Mike Vanderjagt kick)
15,2004-10-03,@,JAX,"W, 24-17",3,16,pass,Marcus Pollard 16 yard pass from Peyton Manning (Mike Vanderjagt kick)
16,2004-10-03,@,JAX,"W, 24-17",4,3,rush,Edgerrin James 3 yard rush (Mike Vanderjagt kick)
17,2004-10-10,,OAK,"W, 35-14",1,1,pass,James Mungro 1 yard pass from Peyton Manning (Matt Bryant kick)
18,2004-10-10,,OAK,"W, 35-14",2,35,pass,Reggie Wayne 35 yard pass from Peyton Manning (Matt Bryant kick)
19,2004-10-10,,OAK,"W, 35-14",2,4,pass,Dallas Clark 4 yard pass from Peyton Manning (Matt Bryant kick)
20,2004-10-10,,OAK,"W, 35-14",4,1,rush,Edgerrin James 1 yard rush (Matt Bryant kick)
21,2004-10-10,,OAK,"W, 35-14",4,34,interception,Jason David 34 yard interception return (Matt Bryant kick)
22,2004-10-24,,JAX,"L, 24-27",2,7,pass,Marvin Harrison 7 yard pass from Peyton Manning (Mike Vanderjagt kick)
