Rk,Player,Age,Pos,G,GS,Pnt,Yds,Y/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1,Hunter Smith,27,P,2,0,8,320,40.0,54,0,0.0,0,0.0,0,
,Team Totals,,,2,,8,320,40.0,54,0,0.0,0,0.0,0,
