Rk,Player,Age,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,RetR,YdsR,KRTD,LngR,Y/RetR,APYd,Awards
1,James Mungro,26,RB,2,0,0,0,0,0,,3,28,0,18,9.3,30,
2,Dominic Rhodes,25,RB,2,0,0,0,0,0,,3,84,0,36,28.0,94,
3,Troy Walters,28,WR,1,0,1,9,0,9,9.0,0,0,0,0,,9,
,Team Totals,,,2,,1,9,0,9,9.0,6,112,0,36,18.7,133,
