Rk,Player,Age,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1,Reggie Wayne,26,WR,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,12.0,
2,Mike Vanderjagt,34,K,2,0,0,0,0,0,0,0,0,0,0,7,7,1,1,0,10,5.0,
3,Dallas Clark,25,TE,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,6.0,
4,Edgerrin James,26,RB,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6.0,
5,Peyton Manning,28,QB,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6.0,
6,James Mungro,26,RB,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,6.0,
7,Dominic Rhodes,25,RB,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6.0,
,Team Totals,,,2,,3,4,0,0,0,0,0,7,0,7,7,1,1,0,52,,
