Rk,Player,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1,Hunter Smith,27,P,16,0,54,2443,45.2,395,1988,36.8,62,3,5.6,21,38.9,0,
,Team Totals,,,16,,54,2443,45.2,395,1988,36.8,62,3,5.6,21,38.9,0,
