Rk,Player,Age,Pos,G,GS,FGA,FGM,FGAR,FGMR,FGARR,FGMRR,FGARRR,FGMRRR,FGARRRR,FGMRRRR,FGARRRRR,FGMRRRRR,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1,Mike Vanderjagt,34,K,2,0,0,0,1,1,0,0,0,0,0,0,1,1,23,100.0,7,7,100.0,1,41,0,0.0,41,
,Team Totals,,,2,,0,0,1,1,0,0,0,0,0,0,1,1,23,100.0,7,7,100.0,1,41,0,0.0,41,
