Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2004-09-09,@,NWE,"L, 24-27",2,16,pass,Deion Branch 16 yard pass from Tom Brady (Adam Vinatieri kick)
2,2004-09-09,@,NWE,"L, 24-27",3,25,pass,David Patten 25 yard pass from Tom Brady (Adam Vinatieri kick)
3,2004-09-09,@,NWE,"L, 24-27",3,8,pass,Daniel Graham 8 yard pass from Tom Brady (Adam Vinatieri kick)
4,2004-09-19,@,TEN,"W, 31-17",1,20,rush,Chris Brown 20 yard rush (Gary Anderson kick)
5,2004-09-19,@,TEN,"W, 31-17",3,1,rush,Steve McNair 1 yard rush (Gary Anderson kick)
6,2004-09-26,,GNB,"W, 45-31",1,36,pass,Javon Walker 36 yard pass from Brett Favre (Ryan Longwell kick)
7,2004-09-26,,GNB,"W, 45-31",1,79,pass,Javon Walker 79 yard pass from Brett Favre (Ryan Longwell kick)
8,2004-09-26,,GNB,"W, 45-31",3,12,pass,Javon Walker 12 yard pass from Brett Favre (Ryan Longwell kick)
9,2004-09-26,,GNB,"W, 45-31",4,27,pass,Donald Driver 27 yard pass from Brett Favre (Ryan Longwell kick)
10,2004-10-03,@,JAX,"W, 24-17",4,40,pass,Jimmy Smith 40 yard pass from Byron Leftwich (Brian Jones pass from Byron Leftwich)
11,2004-10-10,,OAK,"W, 35-14",2,1,rush,Justin Fargas 1 yard rush (Sebastian Janikowski kick)
12,2004-10-10,,OAK,"W, 35-14",4,21,pass,Courtney Anderson 21 yard pass from Kerry Collins (Sebastian Janikowski kick)
13,2004-10-24,,JAX,"L, 24-27",2,4,pass,Kyle Brady 4 yard pass from Byron Leftwich (Josh Scobee kick)
14,2004-10-24,,JAX,"L, 24-27",4,25,pass,Jimmy Smith 25 yard pass from Byron Leftwich (Ernest Wilford pass from Byron Leftwich)
15,2004-10-31,@,KAN,"L, 35-45",1,21,pass,Tony Gonzalez 21 yard pass from Trent Green (Lawrence Tynes kick)
16,2004-10-31,@,KAN,"L, 35-45",2,7,pass,Johnnie Morton 7 yard pass from Trent Green (Lawrence Tynes kick)
17,2004-10-31,@,KAN,"L, 35-45",2,21,rush,Priest Holmes 21 yard rush (Lawrence Tynes kick)
18,2004-10-31,@,KAN,"L, 35-45",2,11,rush,Priest Holmes 11 yard rush (Lawrence Tynes kick)
19,2004-10-31,@,KAN,"L, 35-45",4,1,rush,Priest Holmes 1 yard rush (Lawrence Tynes kick)
20,2004-10-31,@,KAN,"L, 35-45",4,14,pass,Tony Gonzalez 14 yard pass from Trent Green (Lawrence Tynes kick)
21,2004-11-08,,MIN,"W, 31-28",3,91,punt,Nate Burleson 91 yard punt return (Daunte Culpepper run)
22,2004-11-08,,MIN,"W, 31-28",4,8,pass,Nate Burleson 8 yard pass from Daunte Culpepper (Morten Andersen kick)
23,2004-11-08,,MIN,"W, 31-28",4,24,rush,Onterrio Smith 24 yard rush (Morten Andersen kick)
24,2004-11-14,,HOU,"W, 49-14",3,1,rush,Domanick Williams 1 yard rush (Kris Brown kick)
25,2004-11-14,,HOU,"W, 49-14",4,1,rush,Domanick Williams 1 yard rush (Kris Brown kick)
26,2004-11-21,@,CHI,"W, 41-10",4,2,pass,Dustin Lyman 2 yard pass from Craig Krenzel (Paul Edinger kick)
27,2004-12-05,,TEN,"W, 51-24",1,48,pass,Drew Bennett 48 yard pass from Billy Volek (Gary Anderson kick)
28,2004-12-05,,TEN,"W, 51-24",1,28,pass,Drew Bennett 28 yard pass from Billy Volek (Gary Anderson kick)
29,2004-12-05,,TEN,"W, 51-24",1,48,pass,Drew Bennett 48 yard pass from Billy Volek (Gary Anderson kick)
30,2004-12-12,@,HOU,"W, 23-14",2,3,pass,Jonathan Wells 3 yard pass from David Carr (Kris Brown kick)
31,2004-12-12,@,HOU,"W, 23-14",3,15,rush,Domanick Williams 15 yard rush (Kris Brown kick)
32,2004-12-19,,BAL,"W, 20-10",4,13,pass,Todd Heap 13 yard pass from Kyle Boller (Matt Stover kick)
33,2004-12-26,,SDG,"W, 34-31",1,74,pass,LaDainian Tomlinson 74 yard pass from Drew Brees (Nate Kaeding kick)
34,2004-12-26,,SDG,"W, 34-31",2,19,pass,Eric Parker 19 yard pass from Drew Brees (Nate Kaeding kick)
35,2004-12-26,,SDG,"W, 34-31",3,4,pass,Antonio Gates 4 yard pass from Drew Brees (Nate Kaeding kick)
36,2004-12-26,,SDG,"W, 34-31",4,16,rush,LaDainian Tomlinson 16 yard rush (Nate Kaeding kick)
37,2005-01-02,@,DEN,"L, 14-33",1,38,pass,Ashley Lelie 38 yard pass from Jake Plummer (Jason Elam kick)
38,2005-01-02,@,DEN,"L, 14-33",2,2,pass,Patrick Hape 2 yard pass from Jake Plummer (Jason Elam kick)
39,2005-01-02,@,DEN,"L, 14-33",3,5,rush,Jake Plummer 5 yard rush (Jason Elam kick)
