Rk,Player,Age,Pos,G,GS,FGA,FGM,FGAR,FGMR,FGARR,FGMRR,FGARRR,FGMRRR,FGARRRR,FGMRRRR,FGARRRRR,FGMRRRRR,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1,Mike Vanderjagt,34,K,15,0,0,0,6,6,11,9,7,5,1,0,25,20,47,80.0,60,59,98.3,32,1858,0,0.0,58,
2,Matt Bryant,29,K,1,0,0,0,0,0,0,0,1,0,0,0,1,0,,0.0,5,5,100.0,6,357,0,0.0,60,
3,Hunter Smith,27,P,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,9,492,1,11.1,55,
,Team Totals,,,16,,0,0,6,6,11,9,8,5,1,0,26,20,47,76.9,65,64,98.5,47,2707,1,2.1,58,
