play_id,game_id,season_type,week,game_date,season,order_sequence,nfl_api_id,id
1012.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1012.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
1025.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1025.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
1055.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1055.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1077.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1077.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1102.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1102.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1125.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1125.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1159.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1159.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
1179.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1179.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
1208.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1208.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1231.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1231.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
1262.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1262.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1282.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1282.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
1302.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1302.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
1331.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1331.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
1353.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1353.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1375.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1375.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
1397.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1397.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
1419.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1419.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
