no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass
0.0022432497,0.13900553,0.0020859088,0.21976092,0.22244413,0.0032091648,0.4112511,0.0,0.0,1.5929935,0.111581415,0.111581415,-0.111581415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5462618,0.4537382,0.5462618,0.4537382,0.0,0.5462618,0.4537382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111581415,0.0,0.0,0.0,0.0,0.0,0.0
0.00222753,0.13689326,0.0019682318,0.21338171,0.22253662,0.003139045,0.4198536,0.0,0.0,1.704575,0.068666026,0.18024744,-0.18024744,0.068666026,-0.068666026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5462618,0.4537382,0.5462618,0.4537382,-0.00059360266,0.5456682,0.45433182,-0.00059360266,0.00059360266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068666026,0.0,0.0,0.0,0.0,0.0,0.4633773
0.0022903676,0.1371344,0.002215872,0.20915571,0.21905184,0.0030105037,0.42714134,0.0,0.0,1.7732409,1.0388398,1.2190872,-1.2190872,0.068666026,-0.068666026,1.0388398,-1.0388398,1.0388398,0.0,1.0388398,0.0,1.0388398,-1.0388398,0.0,0.0,1.0388398,-1.0388398,0.0,0.0,0.5456682,0.45433182,0.5456682,0.45433182,0.034308255,0.57997644,0.42002356,-0.00059360266,0.00059360266,0.034308255,-0.034308255,0.034308255,0.0,0.034308255,0.0,0.034308255,-0.034308255,0.0,0.0,0.034308255,-0.034308255,0.0,0.0,0.6781082,32.18918,1.0388398,0.22986087,3.8570151,2.0,1.0,1.0,0.53679067
0.0021944419,0.09665957,0.0015441821,0.15264355,0.25878948,0.003979478,0.48418933,0.0,0.0,2.8120809,-0.8464116,0.3726757,-0.3726757,-0.7777456,0.7777456,1.0388398,-1.0388398,0.0,0.0,0.0,0.0,1.0388398,-1.0388398,0.0,0.0,1.0388398,-1.0388398,0.0,0.0,0.57997644,0.42002356,0.57997644,0.42002356,-0.026015222,0.5539612,0.44603878,-0.026608825,0.026608825,0.034308255,-0.034308255,0.0,0.0,0.0,0.0,0.034308255,-0.034308255,0.0,0.0,0.034308255,-0.034308255,0.0,0.0,0.0,0.0,-0.8464116,0.0,0.0,0.0,0.0,0.0,0.4185288
0.0024604718,0.13238943,0.0022245497,0.19254355,0.23729597,0.005679682,0.4274063,0.0,0.0,1.9656692,-0.25761142,0.115064256,-0.115064256,-0.7777456,0.7777456,0.7812284,-0.7812284,-1.1625612,0.9049497,-1.1625612,0.9049497,-0.123721294,0.123721294,0.9049497,-0.9049497,-0.123721294,0.123721294,0.9049497,-0.9049497,0.5539612,0.44603878,0.5539612,0.44603878,-0.00923264,0.5447286,0.45527142,-0.026608825,0.026608825,0.025075614,-0.025075614,0.0,-0.00923264,0.0,-0.00923264,0.034308255,-0.034308255,-0.00923264,0.00923264,0.034308255,-0.034308255,-0.00923264,0.00923264,0.89048755,10.951244,-0.25761142,1.2183926,7.748025,7.0,0.4182107,0.14290276,0.76636887
0.0025684417,0.13321966,0.0013743519,0.2094034,0.24313971,0.005038207,0.40525624,0.0,0.0,1.7080578,-0.40966502,-0.29460075,0.29460075,-1.1874106,1.1874106,0.7812284,-0.7812284,0.0,0.0,0.0,0.0,-0.123721294,0.123721294,0.9049497,-0.9049497,-0.123721294,0.123721294,0.9049497,-0.9049497,0.5447286,0.45527142,0.5447286,0.45527142,-0.03561014,0.50911844,0.49088156,-0.062218964,0.062218964,0.025075614,-0.025075614,0.0,0.0,0.0,0.0,0.034308255,-0.034308255,-0.00923264,0.00923264,0.034308255,-0.034308255,-0.00923264,0.00923264,0.0,0.0,-0.40966502,0.0,0.0,0.0,0.0,0.0,0.98203295
0.0031758042,0.15658948,0.0015761332,0.23439817,0.1962164,0.006571326,0.4014727,0.0,0.0,1.2983928,-3.7537875,-4.0483885,4.0483885,-1.1874106,1.1874106,-2.9725592,2.9725592,2.4418993,-6.195687,0.0,0.0,-0.123721294,0.123721294,0.9049497,-0.9049497,2.318178,-2.318178,-5.290737,5.290737,0.50911844,0.49088156,0.50911844,0.49088156,-0.039111435,0.470007,0.529993,-0.062218964,0.062218964,-0.014035821,0.014035821,0.0,-0.039111435,0.0,0.0,0.034308255,-0.034308255,-0.00923264,0.00923264,0.034308255,-0.034308255,-0.048344076,0.048344076,0.72632384,-72.632385,-3.7537875,0.2671241,3.909454,2.0,1.0,1.0,0.19198988
0.0025767824,0.09287752,0.0013408908,0.1723004,0.28786305,0.0044133565,0.43862802,0.0,0.0,2.4553947,-0.5363645,-3.512024,3.512024,-1.1874106,1.1874106,-2.4361947,2.4361947,-0.009858294,-0.5265062,0.0,0.0,-0.123721294,0.123721294,0.9049497,-0.9049497,2.3280363,-2.3280363,-4.764231,4.764231,0.529993,0.470007,0.470007,0.529993,-0.01564622,0.48565322,0.5143468,-0.062218964,0.062218964,0.0016103983,-0.0016103983,0.0,-0.01564622,0.0,0.0,0.034308255,-0.034308255,-0.00923264,0.00923264,0.034308255,-0.034308255,-0.032697856,0.032697856,0.78592426,-78.59242,-0.5363645,0.49073234,3.913188,2.0,0.7443329,0.27220723,0.47940698
0.002703503,0.10824012,0.001444448,0.2029599,0.27512273,0.0049429224,0.4045864,0.0,0.0,1.9190303,-0.8865687,-2.6254551,2.6254551,-0.30084184,0.30084184,-2.4361947,2.4361947,0.0,0.0,0.0,0.0,-0.123721294,0.123721294,0.9049497,-0.9049497,2.3280363,-2.3280363,-4.764231,4.764231,0.5143468,0.48565322,0.48565322,0.5143468,-0.015997946,0.50165117,0.49834883,-0.046221018,0.046221018,0.0016103983,-0.0016103983,0.0,0.0,0.0,0.0,0.034308255,-0.034308255,-0.00923264,0.00923264,0.034308255,-0.034308255,-0.032697856,0.032697856,0.0,0.0,-0.8865687,0.0,0.0,0.0,0.0,0.0,0.5523748
0.0030662003,0.13620937,0.0014388304,0.25407538,0.24656199,0.0055457577,0.3531025,0.0,0.0,1.0324616,-0.72397196,-1.9014832,1.9014832,-0.30084184,0.30084184,-2.4361947,2.4361947,0.0,0.0,0.0,0.0,-0.123721294,0.123721294,0.9049497,-0.9049497,2.3280363,-2.3280363,-4.764231,4.764231,0.49834883,0.50165117,0.50165117,0.49834883,-0.022812724,0.5244639,0.4755361,-0.046221018,0.046221018,0.0016103983,-0.0016103983,0.0,0.0,0.0,0.0,0.034308255,-0.034308255,-0.00923264,0.00923264,0.034308255,-0.034308255,-0.032697856,0.032697856,0.0,0.0,-0.72397196,0.0,0.0,0.0,0.0,0.0,0.98298097
