drive,fixed_drive,fixed_drive_result,drive_real_start_time,drive_play_count,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_quarter_start,drive_quarter_end,drive_yards_penalized,drive_start_transition,drive_end_transition,drive_start_yard_line,drive_end_yard_line,drive_play_id_started,drive_play_id_ended
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
3.0,3.0,Punt,2003-09-07T13:36:12Z,8.0,5:01,3.0,0.0,0.0,1.0,2.0,0.0,KICKOFF,PUNT,IND 15,CLE 41,713.0,925.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
4.0,4.0,Punt,2003-09-07T13:49:19Z,9.0,4:51,3.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,CLE 7,IND 42,948.0,1148.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
5.0,5.0,Punt,2003-09-07T13:58:26Z,5.0,3:23,1.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,IND 4,IND 19,1167.0,1293.0
6.0,6.0,Turnover,2003-09-07T14:05:09Z,2.0,0:45,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,INTERCEPTION,CLE 33,CLE 30,1331.0,1395.0
6.0,6.0,Turnover,2003-09-07T14:05:09Z,2.0,0:45,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,INTERCEPTION,CLE 33,CLE 30,1331.0,1395.0
6.0,6.0,Turnover,2003-09-07T14:05:09Z,2.0,0:45,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,INTERCEPTION,CLE 33,CLE 30,1331.0,1395.0
7.0,7.0,Turnover,2003-09-07T14:11:27Z,2.0,0:11,0.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,INTERCEPTION,CLE 44,CLE 44,1419.0,1438.0
7.0,7.0,Turnover,2003-09-07T14:11:27Z,2.0,0:11,0.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,INTERCEPTION,CLE 44,CLE 44,1419.0,1438.0
8.0,8.0,Turnover,2003-09-07T14:12:56Z,4.0,1:13,0.0,0.0,0.0,2.0,2.0,-10.0,INTERCEPTION,INTERCEPTION,CLE 37,CLE 40,1469.0,1551.0
8.0,8.0,Turnover,2003-09-07T14:12:56Z,4.0,1:13,0.0,0.0,0.0,2.0,2.0,-10.0,INTERCEPTION,INTERCEPTION,CLE 37,CLE 40,1469.0,1551.0
8.0,8.0,Turnover,2003-09-07T14:12:56Z,4.0,1:13,0.0,0.0,0.0,2.0,2.0,-10.0,INTERCEPTION,INTERCEPTION,CLE 37,CLE 40,1469.0,1551.0
8.0,8.0,Turnover,2003-09-07T14:12:56Z,4.0,1:13,0.0,0.0,0.0,2.0,2.0,-10.0,INTERCEPTION,INTERCEPTION,CLE 37,CLE 40,1469.0,1551.0
9.0,9.0,Field goal,2003-09-07T14:17:34Z,6.0,0:29,1.0,1.0,1.0,2.0,2.0,4.0,INTERCEPTION,FIELD_GOAL,CLE 10,CLE 4,1575.0,1719.0
9.0,9.0,Field goal,2003-09-07T14:17:34Z,6.0,0:29,1.0,1.0,1.0,2.0,2.0,4.0,INTERCEPTION,FIELD_GOAL,CLE 10,CLE 4,1575.0,1719.0
9.0,9.0,Field goal,2003-09-07T14:17:34Z,6.0,0:29,1.0,1.0,1.0,2.0,2.0,4.0,INTERCEPTION,FIELD_GOAL,CLE 10,CLE 4,1575.0,1719.0
9.0,9.0,Field goal,2003-09-07T14:17:34Z,6.0,0:29,1.0,1.0,1.0,2.0,2.0,4.0,INTERCEPTION,FIELD_GOAL,CLE 10,CLE 4,1575.0,1719.0
9.0,9.0,Field goal,2003-09-07T14:17:34Z,6.0,0:29,1.0,1.0,1.0,2.0,2.0,4.0,INTERCEPTION,FIELD_GOAL,CLE 10,CLE 4,1575.0,1719.0
9.0,9.0,Field goal,2003-09-07T14:17:34Z,6.0,0:29,1.0,1.0,1.0,2.0,2.0,4.0,INTERCEPTION,FIELD_GOAL,CLE 10,CLE 4,1575.0,1719.0
