no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass
0.008404189,0.18858635,0.005710884,0.3130587,0.18593928,0.0034029435,0.29489768,0.0,0.0,-0.1396843,1.1642126,-1.1642126,1.1642126,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.42202416,0.57797587,0.57797587,0.42202416,0.03287524,0.54510057,0.4548994,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.1642126,,,,,,
0.008467126,0.14365092,0.0026454816,0.24839509,0.23901424,0.004459057,0.3533681,0.0,0.0,1.0245283,1.0106646,-2.1748772,2.1748772,0.0,0.0,-1.0106646,1.0106646,,,,,,,,,,,,,0.4548994,0.54510057,0.54510057,0.4548994,0.011280656,0.5338199,0.46618006,0.0,0.0,-0.011280656,0.011280656,,,,,,,,,,,,,,,1.0106646,,,,,,
0.007821722,0.1150892,0.002053053,0.18013363,0.29937014,0.00426688,0.3912654,0.0,0.0,2.0351927,-0.7712677,-1.4036094,1.4036094,0.7712677,-0.7712677,-1.0106646,1.0106646,,,,,,,,,,,,,0.46618006,0.5338199,0.5338199,0.46618006,-0.041229635,0.5750496,0.42495042,0.041229635,-0.041229635,-0.011280656,0.011280656,,,,,,,,,,,,,,,-0.7712677,,,,,,
0.011949558,0.13861923,0.002105457,0.22293162,0.27305385,0.006805647,0.3445346,0.0,0.0,1.2639251,1.7163512,-3.1199605,3.1199605,0.7712677,-0.7712677,-2.7270157,2.7270157,,,,,,,,,,,,,0.42495042,0.5750496,0.5750496,0.42495042,0.09110665,0.48394293,0.5160571,0.041229635,-0.041229635,-0.10238731,0.10238731,,,,,,,,,,,,,,,1.7163512,,,,,,
0.0092584975,0.06886854,0.0013446807,0.13049164,0.3531713,0.0029117877,0.4339536,0.0,0.0,2.9802763,-0.49615467,-2.6238058,2.6238058,0.7712677,-0.7712677,-2.230861,2.230861,,,,,,,,,,,,,0.5160571,0.48394293,0.48394293,0.5160571,-0.015552878,0.4994958,0.5005042,0.041229635,-0.041229635,-0.08683443,0.08683443,,,,,,,,,,,,,,,-0.49615467,,,,,,
0.009579839,0.0809707,0.0013943575,0.1534314,0.36573577,0.0031161036,0.3857718,0.0,0.0,2.4841216,-0.75254315,-1.8712628,1.8712628,1.5238109,-1.5238109,-2.230861,2.230861,,,,,,,,,,,,,0.5005042,0.4994958,0.4994958,0.5005042,-0.032635868,0.5321317,0.46786833,0.0738655,-0.0738655,-0.08683443,0.08683443,,,,,,,,,,,,,,,-0.75254315,,,,,,
0.010278483,0.10153825,0.0015353567,0.1880887,0.37922937,0.0034224903,0.3159074,0.0,0.0,1.7315785,2.4220781,-4.2933407,4.2933407,1.5238109,-1.5238109,-4.6529393,4.6529393,,,,,,,,,,,,,0.46786833,0.5321317,0.5321317,0.46786833,0.078639865,0.4534918,0.5465082,0.0738655,-0.0738655,-0.1654743,0.1654743,,,,,,,,,,,,,,,2.4220781,,,,,,
0.0046949373,0.036205422,0.00073331955,0.058655903,0.40458363,0.0010616231,0.49406523,0.0,0.0,4.1536565,-0.30109182,-3.992249,3.992249,1.8249027,-1.8249027,-4.6529393,4.6529393,,,,,,,,,,,,,0.5465082,0.4534918,0.4534918,0.5465082,-0.013724089,0.4672159,0.5327841,0.08758959,-0.08758959,-0.1654743,0.1654743,,,,,,,,,,,,,,,-0.30109182,,,,,,
0.006287434,0.03772484,0.0006131214,0.06524503,0.4504591,0.0010779607,0.4385925,0.0,0.0,3.8525646,0.87723476,-4.869484,4.869484,1.8249027,-1.8249027,-5.530174,5.530174,,,,,,,,,,,,,0.5327841,0.4672159,0.4672159,0.5327841,0.028840423,0.43837547,0.5616245,0.08758959,-0.08758959,-0.19431472,0.19431472,,,,,,,,,,,,,,,0.87723476,,,,,,
0.0034725037,0.019661866,0.0006255211,0.040141635,0.36908063,0.0010678972,0.56595,0.0,0.0,4.7297993,-0.42059913,-4.4488845,4.4488845,1.8249027,-1.8249027,-5.109575,5.109575,,,,,,,,,,,,,0.5616245,0.43837547,0.43837547,0.5616245,-0.015376091,0.45375156,0.54624844,0.08758959,-0.08758959,-0.17893863,0.17893863,,,,,,,,,,,,,,,-0.42059913,,,,,,
0.0037123018,0.021075843,0.00067046727,0.043908123,0.45689547,0.0011450173,0.47259274,0.0,0.0,4.3092003,-0.17691407,-4.2719707,4.2719707,1.8249027,-1.8249027,-4.9326606,4.9326606,,,,,,,,,,,,,0.54624844,0.45375156,0.45375156,0.54624844,0.006859362,0.4468922,0.5531078,0.08758959,-0.08758959,-0.18579799,0.18579799,,,,,,,,,,,,,,,-0.17691407,,,,,,
0.0042796927,0.019235458,0.00054246414,0.031591397,0.54785,0.0013678719,0.39513308,0.0,0.0,4.132286,1.9097017,-6.181672,6.181672,1.8249027,-1.8249027,-6.8423624,6.8423624,,,,,,,,,,,,,0.5531078,0.4468922,0.4468922,0.5531078,0.03846085,0.40843135,0.59156865,0.08758959,-0.08758959,-0.22425884,0.22425884,,,,,,,,,,,,,,,1.9097017,,,,,,
0.0030793238,0.011259106,0.00036399523,0.019551154,0.13470235,0.001612817,0.82943124,0.0,0.0,6.041988,-7.0514345,0.86976206,-0.86976206,1.8249027,-1.8249027,0.2090719,-0.2090719,,,,,,,,,,,,,0.59156865,0.40843135,0.40843135,0.59156865,-0.20249361,0.61092496,0.38907504,0.08758959,-0.08758959,-0.021765232,0.021765232,,,,,,,,,,,,,,,-7.0514345,,,,,,
0.018858552,0.15719071,0.0034102448,0.23980357,0.21937862,0.0042359824,0.3571223,0.0,0.0,1.0094464,-1.0932672,-0.22350518,0.22350518,1.8249027,-1.8249027,0.2090719,-0.2090719,,,,,,,,,,,,,0.61092496,0.38907504,0.61092496,0.38907504,-0.0119047165,0.59902024,0.40097976,0.08758959,-0.08758959,-0.021765232,0.021765232,,,,,,,,,,,,,,,-1.0932672,,,,,,
0.01668782,0.20958419,0.012154766,0.2876462,0.17817093,0.0044080983,0.29134795,0.0,0.0,-0.08382088,0.46625695,0.24275176,-0.24275176,1.8249027,-1.8249027,0.2090719,-0.2090719,,,,,,,,,,,,,0.59902024,0.40097976,0.59902024,0.40097976,0.005281627,0.59902024,0.40097976,0.08758959,-0.08758959,-0.021765232,0.021765232,,,,,,,,,,,,,,,0.46625695,,,,,,
0.020732613,0.19581725,0.0058365613,0.26067576,0.1969107,0.004926083,0.315101,0.0,0.0,0.38243607,0.10443245,0.3471842,-0.3471842,1.9293351,-1.9293351,0.2090719,-0.2090719,,,,,,,,,,,,,0.60430187,0.39569813,0.60430187,0.39569813,-0.008383095,0.5959188,0.40408123,0.0792065,-0.0792065,-0.021765232,0.021765232,,,,,,,,,,,,,,,0.10443245,,,,,,
0.024136381,0.17600527,0.003847444,0.26758263,0.19549891,0.0042689284,0.32866043,0.0,0.0,0.4868685,1.5356077,1.8827919,-1.8827919,1.9293351,-1.9293351,1.7446796,-1.7446796,,,,,,,,,,,,,0.5959188,0.40408123,0.5959188,0.40408123,0.0445264,0.6404452,0.35955483,0.0792065,-0.0792065,0.022761166,-0.022761166,,,,,,,,,,,,,,,1.5356077,,,,,,
0.02320645,0.12078732,0.0017980421,0.18461722,0.2458579,0.00459008,0.419143,0.0,0.0,2.0224762,0.26680085,2.1495926,-2.1495926,1.9293351,-1.9293351,1.7446796,-1.7446796,,,,,,,,,,,,,0.6404452,0.35955483,0.6404452,0.35955483,0.0,0.6404452,0.35955483,0.0792065,-0.0792065,0.022761166,-0.022761166,,,,,,,,,,,,,,,0.26680085,,,,,,
0.024740517,0.11086011,0.001692563,0.16821389,0.25935298,0.0042597237,0.4308802,0.0,0.0,2.289277,-0.020787707,2.128805,-2.128805,1.9085474,-1.9085474,1.7446796,-1.7446796,,,,,,,,,,,,,0.6404452,0.35955483,0.6404452,0.35955483,5.8948994e-05,0.6405041,0.35949588,0.079265445,-0.079265445,0.022761166,-0.022761166,,,,,,,,,,,,,,,-0.020787707,,,,,,
0.024990099,0.11436588,0.0017431033,0.16924243,0.25112388,0.0046688165,0.43386585,0.0,0.0,2.2684894,1.6444694,3.7732744,-3.7732744,1.9085474,-1.9085474,3.389149,-3.389149,,,,,,,,,,,,,0.6405041,0.35949588,0.6405041,0.35949588,0.05933714,0.69984126,0.30015874,0.079265445,-0.079265445,0.082098305,-0.082098305,,,,,,,,,,,,,,,1.6444694,,,,,,
