ydstogo,ydsnet,desc,yards_gained,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,aborted_play,success,first_down,out_of_bounds
10.0,76.0,"(9:05) 10-K.Holcomb pass to 31-W.Green to IND 48 for 29 yards (20-M.Doss). PENALTY on CLE-72-R.Tucker, Offensive Holding, 10 yards, enforced at CLE 23 - No Play.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0016660,R.Tucker,10.0,0.0,,Offensive Holding,0.0,0.0,0.0,0.0
20.0,76.0,"(8:39) PENALTY on IND-90-M.Reagor, Neutral Zone Infraction, 5 yards, enforced at CLE 13 - No Play.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0013471,M.Reagor,5.0,0.0,,Neutral Zone Infraction,0.0,1.0,0.0,0.0
15.0,76.0,"(8:22) 31-W.Green right guard to CLE 23 for 5 yards (53-M.Washington, 28-I.Bashir).",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,0.0
10.0,76.0,(7:45) 10-K.Holcomb pass to 81-Q.Morgan to CLE 37 for 14 yards (21-W.Harris).,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,1.0,0.0
10.0,76.0,"(7:08) 10-K.Holcomb pass to 30-J.White to CLE 43 for 6 yards (94-R.Morris). PENALTY on IND-21-W.Harris, Defensive Holding, 5 yards, enforced at CLE 37 - No Play.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0007007,W.Harris,5.0,0.0,,Defensive Holding,0.0,1.0,1.0,0.0
10.0,76.0,"(6:40) 31-W.Green right guard to CLE 46 for 4 yards (92-C.Bratzke, 50-D.Thornton).",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
6.0,76.0,"(6:03) 10-K.Holcomb pass to 86-D.Northcutt to IND 30 for 24 yards (28-I.Bashir, 20-M.Doss).",24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,1.0,0.0
10.0,76.0,"(5:20) 31-W.Green right guard to IND 26 for 4 yards (57-J.Nelson, 50-D.Thornton).",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
6.0,76.0,(4:44) 31-W.Green left end to IND 27 for -1 yards (20-M.Doss).,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
7.0,76.0,"(4:03) (Shotgun) 10-K.Holcomb pass to 85-K.Johnson to IND 21 for 6 yards (25-N.Harper). PENALTY on IND-98-R.Mathis, Roughing the Passer, 10 yards, enforced at IND 21.",6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00-0022059,R.Mathis,10.0,0.0,,Roughing the Passer,0.0,1.0,1.0,0.0
10.0,76.0,"(3:31) PENALTY on IND-90-M.Reagor, Neutral Zone Infraction, 5 yards, enforced at IND 11 - No Play.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0013471,M.Reagor,5.0,0.0,,Neutral Zone Infraction,0.0,1.0,0.0,0.0
5.0,76.0,(3:09) 31-W.Green right guard to IND 1 for 5 yards (Team).,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,1.0,0.0
1.0,76.0,"(2:25) 31-W.Green right guard to IND 1 for no gain (53-M.Washington, 79-R.Brock).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
